sweep_name,sweep_value,n_trials,n_reachable,reachable_rate,truncation_rate,unreachable_rate,mean_shortest_length_reachable_only,median_shortest_length_reachable_only
rules_per_transition,8,600,3,0.005,0.0,0.995,1.0,1.0
rules_per_transition,16,600,12,0.02,0.0,0.98,3.4166666666666665,3.5
rules_per_transition,24,600,38,0.06333333333333334,0.0,0.9366666666666666,3.4473684210526314,3.0
rules_per_transition,32,600,51,0.085,0.0,0.915,3.5294117647058822,4.0
